date,u10,v10,sp,swvl1,swvl4,z,tcc,r,rmm1,rmm2,sst,tp,Temperature(C)
1/1/1990,0.207708953,-3.580978528,0.423891221,-0.002198353,0.003656202,-44.24731527,-0.237531336,-18.67873586,0.47525901,-1.63714,0.294149487,-0.045882059,-0.211550071
1/2/1990,0.461124615,-3.110566373,0.909467523,-0.003888089,0.003524706,-16.7569675,-0.241248038,-21.81951188,0.53126502,-1.74783,0.277527457,-0.046072416,-0.10160147
1/3/1990,0.597439704,-3.082591061,1.20510836,-0.005644629,0.00339329,2.796617872,-0.244136491,-22.476062,0.68486702,-1.81769,0.267963844,-0.046326645,-0.046460255
1/4/1990,0.991033578,-2.476437607,1.257426078,-0.007440099,0.003261841,6.065370187,-0.246057979,-22.49780943,0.76600701,-1.82796,0.257532099,-0.046436495,0.108206954
1/5/1990,1.586198796,-1.905036924,1.54266125,-0.011239108,0.002995531,52.75789567,-0.257188385,-28.67665688,0.81559002,-1.84892,0.248283861,-0.046564843,0.278953207
1/6/1990,2.045234624,-1.605436058,1.680456903,-0.014833004,0.002730879,86.05241703,-0.257439257,-22.56860721,1.03128,-1.76675,0.232608872,-0.046712525,0.412223145
1/7/1990,2.367835562,-1.083505289,1.467133719,-0.018315132,0.00246362,103.198237,-0.257551986,-21.18513345,0.99364299,-1.45087,0.21242478,-0.04695148,0.259347099
1/8/1990,2.175751521,-0.823260443,1.124176829,-0.021458486,0.002195978,143.8069813,-0.258161546,-11.91863548,1.02476,-1.16195,0.189474993,-0.047420701,0.170447623
1/9/1990,1.530593804,-0.571761213,0.447430047,-0.024390155,0.001925868,195.4370921,-0.246955796,-1.545723715,0.86042899,-0.90491998,0.1413856,-0.047620508,0.162966383
1/10/1990,1.413032639,-0.075602235,-0.438203187,-0.027096247,0.001655542,242.5776222,-0.242238633,5.098169109,0.982063,-1.05637,0.067209847,-0.047802299,0.33670496
1/11/1990,1.161326085,0.185928589,-1.139526672,-0.02939673,0.001387271,278.4117243,-0.143710438,14.20503095,1.11393,-1.36659,-0.009820796,-0.047998359,0.420710961
1/12/1990,0.780878308,-0.137093947,-1.693662199,-0.03107676,0.001123301,305.4948039,-0.120515505,22.63800332,1.32634,-1.31318,-0.10116475,-0.048135969,0.597950226
1/13/1990,0.279759765,-0.035180296,-2.22494655,-0.032147339,0.000857184,353.5716547,-0.113261216,26.12790361,2.06249,-1.27237,-0.206662936,-0.048246653,0.743364692
1/14/1990,0.214625171,-0.198099589,-2.627528402,-0.032781869,0.000617435,396.285479,0.024599725,35.70747662,2.37991,-0.96016997,-0.288279164,-0.04841377,1.080385841
1/15/1990,0.633609161,0.32878891,-3.100805743,-0.033500182,0.000401768,456.5103468,0.027203196,34.10433396,2.4533999,-0.48018,-0.336298996,-0.048454536,1.478779276
1/16/1990,0.460141684,0.848808639,-3.508590569,-0.034056377,0.00021224,523.3484516,0.101900882,34.56473275,2.7042201,0.20013601,-0.330582174,-0.048484985,1.770276362
1/17/1990,-0.955300479,1.444378242,-3.608056263,-0.033875771,4.88E-05,588.4589524,0.205086211,37.70187627,2.5132301,0.69829601,-0.278050993,-0.048669858,1.951042486
1/18/1990,-2.209557602,2.519467813,-3.588195362,-0.033218889,-9.09E-05,662.0296722,0.154769924,35.69161397,2.1946299,1.06249,-0.210476743,-0.048927335,2.164476224
1/19/1990,-2.552456472,4.208574511,-3.476799266,-0.031999348,-0.000198112,708.387987,0.195810067,34.65105448,1.59426,1.12632,-0.140655144,-0.048249747,2.237749644
1/20/1990,-2.395514895,4.255551513,-3.180133637,-0.029547924,-0.000268508,733.1839252,0.274481592,34.58688934,1.52467,1.16257,-0.064020662,-0.044546364,2.327430344
1/21/1990,-2.637682975,4.388664535,-2.851202649,-0.026749934,-0.00033056,726.3617486,0.196414083,31.06373426,1.67092,1.19873,0.000681118,-0.04354962,2.453223158
1/22/1990,-2.959154841,4.070877975,-2.423574967,-0.023775011,-0.00038625,691.8593307,0.280321482,33.20501476,1.47622,1.1454,0.068030018,-0.043411749,2.665691225
1/23/1990,-2.119158114,3.87763564,-1.800930721,-0.020997247,-0.0004332,634.9563715,0.304832486,32.41821339,1.44354,1.2837501,0.11550376,-0.041171901,2.770480232
1/24/1990,-0.542651523,3.76900394,-1.255789726,-0.018947698,-0.000473395,566.6590293,0.333354926,31.40961507,1.4309,1.53585,0.13995405,-0.040530886,2.745731249
1/25/1990,0.861215797,2.873116125,-0.925991866,-0.017707512,-0.000506606,497.8342885,0.375340863,32.4527447,1.2483799,1.55527,0.15609287,-0.040208433,2.80360411
1/26/1990,1.268010296,4.002396088,-0.995106856,-0.017070145,-0.00054568,427.5202297,0.31473503,26.90302532,1.36103,1.6719199,0.181725421,-0.040934456,3.11279695
1/27/1990,1.735650407,5.629535668,-1.232897501,-0.017842755,-0.000588233,380.2102248,0.234465638,25.19100259,1.53144,1.85831,0.220079358,-0.044778221,3.293227326
1/28/1990,1.922951016,6.472780654,-1.12012128,-0.019773854,-0.000636249,390.1407082,0.175527415,18.39809695,1.20295,2.02792,0.261574429,-0.045919617,3.406496424
1/29/1990,3.256849702,7.512590197,-1.210636093,-0.02221077,-0.000687425,337.2990078,0.09000045,9.748315117,0.56413299,2.15447,0.29669367,-0.046220097,3.337697669
1/30/1990,3.06852986,7.897387074,-1.224243393,-0.024485221,-0.000743773,279.3506991,0.038986221,7.971667293,0.0327764,2.0313001,0.344464255,-0.0488993,3.280147365
1/31/1990,2.478793218,7.174729184,-0.91849157,-0.025844451,-0.000802993,254.6339245,-0.09658526,4.954959493,-0.36936,1.73923,0.390215803,-0.049979796,3.266153199
2/1/1990,2.608262968,7.078973271,-0.832711629,-0.027085684,-0.000867176,211.2910122,-0.186139152,2.6310317,-0.76972002,1.5168101,0.407097437,-0.050837789,3.064533333
2/2/1990,2.760923306,5.780797003,-0.666255546,-0.028593711,-0.000929766,169.3748737,-0.111625758,7.440960771,-1.07916,1.28482,0.394764043,-0.05149519,2.7259952
2/3/1990,1.857276912,4.401190728,0.012838351,-0.030206306,-0.000995115,164.5505593,-0.023024776,6.160313502,-0.96350998,1.47054,0.374869082,-0.052257439,2.611037392
2/4/1990,1.355644229,3.444056403,0.714556389,-0.031505344,-0.001058844,143.7249989,-0.023917155,12.25545102,-0.83996999,1.57858,0.341669078,-0.053315584,2.455196892
2/5/1990,1.085735619,2.499584408,1.286472347,-0.032420361,-0.001123043,148.9437643,-0.002241779,18.71610569,-0.75562,1.53455,0.304304134,-0.054328274,2.298375845
2/6/1990,1.358706046,1.785043639,1.590409516,-0.033090268,-0.001185471,155.6815107,-0.061186081,17.39007825,-0.9357,1.35859,0.255238048,-0.055170321,2.39393658
2/7/1990,1.402168839,1.310935362,1.864212235,-0.034142852,-0.001250468,175.9926825,0.04494442,19.2813114,-1.13252,1.13572,0.206274529,-0.055867401,2.537582165
2/8/1990,0.273407103,-0.618250427,2.56315055,-0.035204029,-0.001311467,205.9699022,0.168326482,16.72079144,-1.26403,0.86066002,0.186340924,-0.057894602,2.538592806
2/9/1990,0.660735691,-2.363942476,3.084599437,-0.036130017,-0.001370583,252.9484257,0.114824378,15.38247262,-1.56652,0.20692,0.187839011,-0.060137526,2.326666164
2/10/1990,1.200436493,-3.109148227,2.862744961,-0.037015166,-0.001427704,236.1812142,0.098005196,16.68050909,-1.71009,-0.031135701,0.194828355,-0.062774853,2.286075163
2/11/1990,0.383533183,-4.353305143,2.496664572,-0.036381358,-0.001478395,167.4737981,0.241120443,16.51915421,-1.58742,-0.050885499,0.204720495,-0.015273334,1.058915457
2/12/1990,-0.424031333,-4.443906295,2.039713934,-0.035062477,-0.001516036,66.45012884,0.271409149,15.85559765,-1.40353,-0.073130101,0.202901298,-0.016241134,0.516412663
2/13/1990,-1.961883551,-3.833312393,1.701885487,-0.032030313,-0.00153404,-30.84837281,0.303130189,13.58263014,-1.23199,-0.10264,0.199052065,-0.017268704,-0.269351389
2/14/1990,-2.707699532,-3.073725623,1.170984335,-0.030128059,-0.001540993,-135.1870107,0.226867677,12.56593973,-1.39809,-0.37659001,0.219237994,-0.01872075,-0.867823495
2/15/1990,-3.863937832,-1.682973826,0.328801873,-0.028771115,-0.001547665,-209.347426,0.139728243,15.41606365,-1.31866,-0.75808001,0.242402647,-0.019512695,-1.017082522
2/16/1990,-5.017127075,-0.385948252,-0.157052215,-0.019524678,-0.001543036,-309.1510195,0.184144044,17.58945534,-1.3624001,-1.0798,0.270861738,0.001758323,-1.469030909
2/17/1990,-5.666904334,1.191726285,-0.545732985,-0.005846667,-0.001529188,-424.0607612,0.214657362,14.71634436,-1.18141,-1.17843,0.301975645,0.005078917,-2.106511558
2/18/1990,-4.970889804,2.904750519,-1.355666613,0.017842528,-0.001503819,-533.5280026,0.205907094,12.52631999,-0.97013998,-1.04362,0.341438811,-0.036665398,-1.638695134
2/19/1990,-5.922526619,3.665218794,-1.470502077,0.04169595,-0.001471134,-592.6429594,0.182662488,12.30549597,-0.69062001,-1.1022201,0.409826655,-0.032546202,-1.981565066
2/20/1990,-5.355095307,3.509458387,-1.630348746,0.057758264,-0.001448488,-664.6851271,0.180669001,11.92822948,-0.40272,-1.09368,0.457792407,-0.031554168,-1.996732807
2/21/1990,-4.840727576,3.046769222,-1.739221142,0.072026886,-0.001429401,-722.1202497,0.204410748,11.78604151,-0.32335001,-1.00068,0.474159806,-0.030623786,-2.273172865
2/22/1990,-3.399091939,2.255519084,-1.89373916,0.085181489,-0.001405181,-776.6608587,0.286482304,12.15499507,-0.12182,-1.0519201,0.471118117,-0.027033287,-2.511817452
2/23/1990,-2.690530018,1.670894416,-2.4322392,0.090122752,-0.001382392,-824.6889965,0.308719398,11.99479018,0.0223317,-1.29951,0.461019184,-0.041118724,-2.788426092
